model,resolution,protocol,size,row_type,condition,baseline_condition,baseline_map50_95,complete,expected_conditions,map50_95,map50_95_drop,map50_95_drop_percentage_points,map50_95_relative_drop,map50_95_retention,n_conditions,observed_partial_map50_95,worst_condition
leaf_yolo_n_external,640,native10,coco_small,corrupted8_mean_excluding_S1T1,aggregate,S1T1,0.15131066706229013,True,8,0.06906824025037996,0.08224242681191017,8.224242681191017,0.5435335684433498,0.4564664315566503,8,,
leaf_yolo_n_external,640,native10,coco_small,corrupted8_worst_excluding_S1T1,aggregate,S1T1,0.15131066706229013,True,8,0.008051011349378202,0.14325965571291194,14.325965571291194,0.9467915150617647,0.05320848493823531,8,,S2T3
leaf_yolo_n_external,640,native10,large,condition,CLEAN,S1T1,0.4052924631251818,True,1,0.40871573737582206,-0.0034232742506402625,-0.34232742506402625,-0.008446429583821136,1.0084464295838211,1,,
leaf_yolo_n_external,640,native10,large,condition,S1T1,S1T1,0.4052924631251818,True,1,0.4052924631251818,0.0,0.0,0.0,1.0,1,,
leaf_yolo_n_external,640,native10,large,condition,S1T2,S1T1,0.4052924631251818,True,1,0.4121141694549453,-0.006821706329763477,-0.6821706329763477,-0.0168315647351589,1.016831564735159,1,,
leaf_yolo_n_external,640,native10,large,condition,S1T3,S1T1,0.4052924631251818,True,1,0.28814302645910145,0.11714943666608035,11.714943666608036,0.2890491369189282,0.7109508630810718,1,,
leaf_yolo_n_external,640,native10,large,condition,S2T1,S1T1,0.4052924631251818,True,1,0.3065210899726799,0.0987713731525019,9.87713731525019,0.2437039474923436,0.7562960525076564,1,,
leaf_yolo_n_external,640,native10,large,condition,S2T2,S1T1,0.4052924631251818,True,1,0.3005281519742446,0.1047643111509372,10.476431115093721,0.25849064732935556,0.7415093526706444,1,,
leaf_yolo_n_external,640,native10,large,condition,S2T3,S1T1,0.4052924631251818,True,1,0.1973183472343563,0.2079741158908255,20.79741158908255,0.5131457769709105,0.4868542230290895,1,,
leaf_yolo_n_external,640,native10,large,condition,S3T1,S1T1,0.4052924631251818,True,1,0.3646321181196095,0.04066034500557231,4.0660345005572305,0.10032346689115124,0.8996765331088488,1,,
leaf_yolo_n_external,640,native10,large,condition,S3T2,S1T1,0.4052924631251818,True,1,0.35972179918366654,0.045570663941515266,4.557066394151526,0.11243896220058736,0.8875610377994126,1,,
leaf_yolo_n_external,640,native10,large,condition,S3T3,S1T1,0.4052924631251818,True,1,0.2068844026163249,0.1984080605088569,19.84080605088569,0.48954293148938977,0.5104570685106102,1,,
leaf_yolo_n_external,640,native10,large,matrix9_mean_including_S1T1,aggregate,S1T1,0.4052924631251818,True,9,0.3156839520155678,0.08960851110961399,8.960851110961398,0.2210959227286119,0.7789040772713881,9,,
leaf_yolo_n_external,640,native10,large,corrupted8_mean_excluding_S1T1,aggregate,S1T1,0.4052924631251818,True,8,0.3044828881268661,0.10080957499831572,10.080957499831571,0.24873291306968837,0.7512670869303116,8,,
