model,state,backend,resolution,condition,protocol,size,category_id,class_name,map50,map50_95,ar50,ar50_95,area_reference,category_name,checkpoint_sha256,evaluated_categories,gt_count,image_count,max_det
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,all,7,,0.31735866802957174,0.1746242928068292,0.8668582375478927,0.506800766283525,original_image_pixels,tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,1044,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,all,8,,0.16715733588066067,0.09929602990765898,0.7954545454545454,0.4763257575757576,original_image_pixels,awning-tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,528,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,all,9,,0.6164523775567978,0.42412691985592094,0.8623481781376519,0.6020242914979756,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,247,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,all,10,,0.5810283795571118,0.25661321680982885,0.9393566892030322,0.496578569965171,original_image_pixels,motor,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,4881,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,tiny,1,,0.48619686192196676,0.184413868700604,0.8993886907794193,0.41105450840550173,original_image_pixels,pedestrian,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,3926,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,tiny,2,,0.4332621805064208,0.14431683083998917,0.8948024948024949,0.4188773388773389,original_image_pixels,people,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,2405,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,tiny,3,,0.1329783489116668,0.04249117799910468,0.8299492385786802,0.38756345177664975,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,394,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,tiny,4,,0.7203633304271436,0.34233981472058717,0.9297721329846843,0.4983563690698543,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,2677,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,tiny,5,,0.25131634527328445,0.12572856064469623,0.9143730886850153,0.4966360856269113,original_image_pixels,van,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,327,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,tiny,6,,0.20238191407933526,0.1062811259740676,0.7777777777777778,0.40777777777777774,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,90,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,tiny,7,,0.28815573821086166,0.12815358197247848,0.875,0.4421875,original_image_pixels,tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,192,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,tiny,8,,0.21718157058163529,0.09079866888673821,0.8409090909090909,0.42386363636363633,original_image_pixels,awning-tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,88,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,tiny,9,,0.23300649336554236,0.10353619920533531,0.7878787878787878,0.35151515151515145,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,33,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,tiny,10,,0.5379980619252638,0.19928204214559223,0.928654970760234,0.4554385964912281,original_image_pixels,motor,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,1710,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,small,1,,0.6806831604040403,0.3162979711623339,0.9261709446943636,0.49441651230484257,original_image_pixels,pedestrian,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,3779,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,small,2,,0.47426364056771325,0.19571361421755404,0.9255079006772009,0.4927765237020316,original_image_pixels,people,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,2215,548,3000
